Date,SONIA
06/07/2019,0.00709
06/06/2019,0.007092
06/05/2019,0.007094
06/04/2019,0.007084
06/03/2019,0.007084
05/31/2019,0.007078
05/30/2019,0.007085
05/29/2019,0.007073
05/28/2019,0.007082
05/24/2019,0.007086
05/23/2019,0.0071
05/22/2019,0.007106
05/21/2019,0.007093
05/20/2019,0.007096
05/17/2019,0.007094
05/16/2019,0.0071
05/15/2019,0.007096
05/14/2019,0.007095
05/13/2019,0.007096
05/10/2019,0.007098
05/09/2019,0.007103
05/08/2019,0.007092
05/07/2019,0.007094
05/03/2019,0.007098
05/02/2019,0.007107
05/01/2019,0.007103
04/30/2019,0.007109
04/29/2019,0.007097
04/26/2019,0.007107
04/25/2019,0.007096
04/24/2019,0.007087
04/23/2019,0.007092
04/18/2019,0.007087
04/17/2019,0.007084
04/16/2019,0.007081
04/15/2019,0.007082
04/12/2019,0.007074
04/11/2019,0.007075
04/10/2019,0.007081
04/09/2019,0.007072
04/08/2019,0.007079
04/05/2019,0.007076
04/04/2019,0.007068
04/03/2019,0.007064
04/02/2019,0.007055
04/01/2019,0.007055
03/29/2019,0.007036
03/28/2019,0.007051
03/27/2019,0.007047
03/26/2019,0.007059
03/25/2019,0.007046
03/22/2019,0.007053
03/21/2019,0.00705
03/20/2019,0.007054
03/19/2019,0.00705
03/18/2019,0.007056
03/15/2019,0.007046
03/14/2019,0.007039
03/13/2019,0.007055
03/12/2019,0.007061
03/11/2019,0.007046
03/08/2019,0.007049
03/07/2019,0.007055
03/06/2019,0.007066
03/05/2019,0.007065
03/04/2019,0.007069
03/01/2019,0.007057
02/28/2019,0.00705
02/27/2019,0.007065
02/26/2019,0.007074
02/25/2019,0.00708
02/22/2019,0.007083
02/21/2019,0.007072
02/20/2019,0.007077
02/19/2019,0.00706
02/18/2019,0.007055
02/15/2019,0.007061
02/14/2019,0.007063
02/13/2019,0.007069
02/12/2019,0.00705
02/11/2019,0.007059
02/08/2019,0.007056
02/07/2019,0.007065
02/06/2019,0.007066
02/05/2019,0.007048
02/04/2019,0.007051
02/01/2019,0.007025
01/31/2019,0.007034
01/30/2019,0.007034
01/29/2019,0.007036
01/28/2019,0.007054
01/25/2019,0.007045
01/24/2019,0.007057
01/23/2019,0.007053
01/22/2019,0.007047
01/21/2019,0.007055
01/18/2019,0.007059
01/17/2019,0.007055
01/16/2019,0.007059
01/15/2019,0.007057
01/14/2019,0.007067
01/11/2019,0.007072
01/10/2019,0.007067
01/09/2019,0.007063
01/08/2019,0.007052
01/07/2019,0.007052
01/04/2019,0.007046
01/03/2019,0.007048
01/02/2019,0.007044
12/31/2018,0.006998
12/28/2018,0.007047
12/27/2018,0.00706
12/24/2018,0.007051
12/21/2018,0.007054
12/20/2018,0.007032
12/19/2018,0.007039
12/18/2018,0.007019
12/17/2018,0.007003
12/14/2018,0.007028
12/13/2018,0.00701
12/12/2018,0.007017
12/11/2018,0.007027
12/10/2018,0.007028
12/07/2018,0.00702
12/06/2018,0.007021
12/05/2018,0.00701
12/04/2018,0.007014
12/03/2018,0.007019
11/30/2018,0.007002
11/29/2018,0.007017
11/28/2018,0.00701
11/27/2018,0.007018
11/26/2018,0.00701
11/23/2018,0.007032
11/22/2018,0.007031
11/21/2018,0.007028
11/20/2018,0.007013
11/19/2018,0.007006
11/16/2018,0.007007
11/15/2018,0.007019
11/14/2018,0.007013
11/13/2018,0.007025
11/12/2018,0.007023
11/09/2018,0.007028
11/08/2018,0.007023
11/07/2018,0.007031
11/06/2018,0.007017
11/05/2018,0.007009
11/02/2018,0.007005
11/01/2018,0.007006
10/31/2018,0.007002
10/30/2018,0.007013
10/29/2018,0.007011
10/26/2018,0.007021
10/25/2018,0.006988
10/24/2018,0.007023
10/23/2018,0.007004
10/22/2018,0.00699
10/19/2018,0.006999
10/18/2018,0.007017
10/17/2018,0.007016
10/16/2018,0.007012
10/15/2018,0.00701
10/12/2018,0.007012
10/11/2018,0.006999
10/10/2018,0.006997
10/09/2018,0.007019
10/08/2018,0.007021
10/05/2018,0.00701
10/04/2018,0.007023
10/03/2018,0.007015
10/02/2018,0.007026
10/01/2018,0.007021
09/28/2018,0.006964
09/27/2018,0.007015
09/26/2018,0.00699
09/25/2018,0.006995
09/24/2018,0.00701
09/21/2018,0.007003
09/20/2018,0.006999
09/19/2018,0.007005
09/18/2018,0.007015
09/17/2018,0.007013
09/14/2018,0.007016
09/13/2018,0.007024
09/12/2018,0.007025
09/11/2018,0.007003
09/10/2018,0.007016
09/07/2018,0.007028
09/06/2018,0.007032
09/05/2018,0.007022
09/04/2018,0.007046
09/03/2018,0.00702
08/31/2018,0.007042
08/30/2018,0.007058
08/29/2018,0.007048
08/28/2018,0.007032
08/24/2018,0.007036
08/23/2018,0.007035
08/22/2018,0.007028
08/21/2018,0.007037
08/20/2018,0.007039
08/17/2018,0.00703
08/16/2018,0.007024
08/15/2018,0.007018
08/14/2018,0.007021
08/13/2018,0.007037
08/10/2018,0.007035
08/09/2018,0.007019
08/08/2018,0.007028
08/07/2018,0.007011
08/06/2018,0.007006
08/03/2018,0.007028
08/02/2018,0.006897
08/01/2018,0.004522
07/31/2018,0.004503
07/30/2018,0.004523
07/27/2018,0.004532
07/26/2018,0.004532
07/25/2018,0.00454
07/24/2018,0.004548
07/23/2018,0.004537
07/20/2018,0.004557
07/19/2018,0.004538
07/18/2018,0.004543
07/17/2018,0.004541
07/16/2018,0.004552
07/13/2018,0.004565
07/12/2018,0.004563
07/11/2018,0.004544
07/10/2018,0.004549
07/09/2018,0.004567
07/06/2018,0.00458
07/05/2018,0.004563
07/04/2018,0.004546
07/03/2018,0.004543
07/02/2018,0.004531
06/29/2018,0.004399
06/28/2018,0.004515
06/27/2018,0.004495
06/26/2018,0.004498
06/25/2018,0.004512
06/22/2018,0.004491
06/21/2018,0.004513
06/20/2018,0.004495
06/19/2018,0.004507
06/18/2018,0.004515
06/15/2018,0.004505
06/14/2018,0.004512
06/13/2018,0.004489
06/12/2018,0.004501
06/11/2018,0.004514
06/08/2018,0.004535
06/07/2018,0.004531
06/06/2018,0.004519
06/05/2018,0.004525
06/04/2018,0.004522
06/01/2018,0.004544
05/31/2018,0.004503
05/30/2018,0.004519
05/29/2018,0.004537
05/25/2018,0.004533
05/24/2018,0.004532
05/23/2018,0.004533
05/22/2018,0.004521
05/21/2018,0.004527
05/18/2018,0.00454
05/17/2018,0.004533
05/16/2018,0.004528
05/15/2018,0.004511
05/14/2018,0.004513
05/11/2018,0.004542
05/10/2018,0.004539
05/09/2018,0.004553
05/08/2018,0.004542
05/04/2018,0.004556
05/03/2018,0.004527
05/02/2018,0.004515
05/01/2018,0.004497
04/30/2018,0.004507
04/27/2018,0.004548
04/26/2018,0.004549
04/25/2018,0.00454
04/24/2018,0.004537
04/23/2018,0.004529
04/20/2018,0.004646
04/19/2018,0.004651
04/18/2018,0.00467
04/17/2018,0.004664
04/16/2018,0.004659
04/13/2018,0.004657
04/12/2018,0.004637
04/11/2018,0.004633
04/10/2018,0.004666
04/09/2018,0.004651
04/06/2018,0.004666
04/05/2018,0.004653
04/04/2018,0.004624
04/03/2018,0.004652
03/29/2018,0.004435
03/28/2018,0.004638
03/27/2018,0.004652
03/26/2018,0.004666
